event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
406214,604,Interest Rate Decision,21-05-20 13:00,South Africa,ZAR,Moderate Volatility Expected,,3.75%,4.25%,interest-rate-decision-604,Interest Rate Decision
406221,891,Existing Home Sales,21-05-20 14:00,United States,USD,Moderate Volatility Expected,,-8.10%,-8.50%,existing-home-sales-891,Existing Home Sales 
406236,257,Retail Sales,21-05-20 22:45,New Zealand,NZD,Moderate Volatility Expected,,,0.70%,retail-sales-257,Retail Sales 
406240,344,National Core CPI,21-05-20 23:30,Japan,JPY,Moderate Volatility Expected,,0.40%,0.40%,national-core-cpi-344,National Core Consumer Price Index (CPI) 
406265,870,Capacity Utilization,22-05-20 07:00,Turkey,TRY,Moderate Volatility Expected,,,61.60%,capacity-utilization-870,Capacity Utilization
405712,653,Retail Sales,22-05-20 08:00,Poland,PLN,Moderate Volatility Expected,,-16.90%,-7.10%,retail-sales-653,Retail Sales 
406296,856,Core Retail Sales,22-05-20 08:30,United Kingdom,GBP,Moderate Volatility Expected,,-3.50%,-3.70%,core-retail-sales-856,Core Retail Sales 
406295,857,Core Retail Sales,22-05-20 08:30,United Kingdom,GBP,Moderate Volatility Expected,,-4.70%,-4.10%,core-retail-sales-857,Core Retail Sales 
406294,731,Retail Sales,22-05-20 08:30,United Kingdom,GBP,Moderate Volatility Expected,,-4.70%,-5.80%,retail-sales-731,Retail Sales 
406314,1149,Retail Sales,22-05-20 11:00,Mexico,MXN,Moderate Volatility Expected,,,-1.10%,retail-sales-1149,Retail Sales 
406326,260,Retail Sales,22-05-20 12:30,Canada,CAD,Moderate Volatility Expected,,,0.30%,retail-sales-260,Retail Sales 
406848,1612,CFTC GBP speculative net positions,22-05-20 19:30,United Kingdom,GBP,Moderate Volatility Expected,,,-12.0K,cftc-gbp-speculative-net-positions-1612,CFTC GBP speculative net positions
406856,1653,CFTC Crude Oil speculative net positions,22-05-20 19:30,United States,USD,Moderate Volatility Expected,,,530.6K,cftc-crude-oil-speculative-net-positions-1653,CFTC Crude Oil speculative net positions
406854,1618,CFTC Gold speculative net positions,22-05-20 19:30,United States,USD,Moderate Volatility Expected,,,250.0K,cftc-gold-speculative-net-positions-1618,CFTC Gold speculative net positions
406846,1959,CFTC Nasdaq 100 speculative net positions,22-05-20 19:30,United States,USD,Moderate Volatility Expected,,,12.8K,cftc-nasdaq-100-speculative-net-positions-1959,CFTC Nasdaq 100 speculative net positions
406847,1814,CFTC BRL speculative net positions,22-05-20 19:30,Brazil,BRL,Moderate Volatility Expected,,,-11.1K,cftc-brl-speculative-net-positions-1814,CFTC BRL speculative net positions
406851,1611,CFTC EUR speculative net positions,22-05-20 19:30,Euro Zone,EUR,Moderate Volatility Expected,,,76.3K,cftc-eur-speculative-net-positions-1611, speculative net positions
406416,738,German GDP,25-05-20 06:00,Germany,EUR,Moderate Volatility Expected,,0.30%,0.30%,german-gdp-738,Gross Domestic Product (GDP) 
406424,521,German Business Expectations,25-05-20 08:00,Germany,EUR,Moderate Volatility Expected,,75,69.4,german-business-expectations-521,Business Expectations
406426,520,German Current Assessment,25-05-20 08:00,Germany,EUR,Moderate Volatility Expected,,81,79.5,german-current-assessment-520,Current Assessment
406662,590,GDP Annualized,25-05-20 10:00,Israel,ILS,Moderate Volatility Expected,,,4.60%,gdp-annualized-590,Gross Domestic Product (GDP) 
