event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
405934,63.0,Core Retail Sales,2020-05-15 12:30:00,United States,USD,High Volatility Expected,,-8.6%,-4.2%,core-retail-sales-63,U.S. Core Retail Sales MoM
405930,256.0,Retail Sales,2020-05-15 12:30:00,United States,USD,High Volatility Expected,,-12.0%,-8.4%,retail-sales-256,U.S. Retail Sales MoM
405971,1057.0,JOLTs Job Openings,2020-05-15 14:00:00,United States,USD,High Volatility Expected,,,6.882M,jolts-job-openings-1057,U.S. JOLTs Job Openings
406046,119.0,GDP,2020-05-17 23:50:00,Japan,JPY,High Volatility Expected,,-1.2%,-1.8%,gdp-119,Japan Gross Domestic Product (GDP) QoQ
406082,7.0,Average Earnings Index +Bonus,2020-05-19 06:00:00,United Kingdom,GBP,High Volatility Expected,,3.0%,2.8%,average-earnings-index-+bonus-7,U.K. Average Earnings Index +Bonus
406073,39.0,Claimant Count Change,2020-05-19 06:00:00,United Kingdom,GBP,High Volatility Expected,,172.5K,12.1K,claimant-count-change-39,U.K. Claimant Count Change
406093,144.0,German ZEW Economic Sentiment,2020-05-19 09:00:00,Germany,EUR,High Volatility Expected,,-42.3,28.2,german-zew-economic-sentiment-144,Germany ZEW Economic Sentiment
406101,25.0,Building Permits,2020-05-19 12:30:00,United States,USD,High Volatility Expected,,1.100M,1.350M,building-permits-25,U.S. Building Permits
406124,67.0,CPI,2020-05-20 06:00:00,United Kingdom,GBP,High Volatility Expected,,1.5%,1.5%,cpi-67,U.K. Consumer Price Index (CPI) YoY
406163,57.0,Core CPI,2020-05-20 12:30:00,Canada,CAD,High Volatility Expected,,,0.7%,core-cpi-57,Canada Core Consumer Price Index (CPI) MoM
406199,409.0,One-Week Repo Rate,2020-05-21 11:00:00,Turkey,TRY,High Volatility Expected,,9.25%,8.75%,one-week-repo-rate-409,Turkey One-Week Repo Rate
406201,1068.0,Overnight Borrowing Rate,2020-05-21 11:00:00,Turkey,TRY,High Volatility Expected,,,7.25%,overnight-borrowing-rate-1068,Turkey Overnight Borrowing Rate
406211,236.0,Philadelphia Fed Manufacturing Index,2020-05-21 12:30:00,United States,USD,High Volatility Expected,,-47.0,-56.6,philadelphia-fed-manufacturing-index-236,U.S. Philadelphia Fed Manufacturing Index
406220,99.0,Existing Home Sales,2020-05-21 14:00:00,United States,USD,High Volatility Expected,,4.40M,5.27M,existing-home-sales-99,U.S. Existing Home Sales
406297,258.0,Retail Sales,2020-05-22 08:30:00,United Kingdom,GBP,High Volatility Expected,,,-5.1%,retail-sales-258,U.K. Retail Sales MoM
406325,65.0,Core Retail Sales,2020-05-22 12:30:00,Canada,CAD,High Volatility Expected,,0.3%,-15.6%,core-retail-sales-65,Canada Core Retail Sales MoM
406415,131.0,German GDP,2020-05-25 06:00:00,Germany,EUR,High Volatility Expected,,,,german-gdp-131,Germany Gross Domestic Product (GDP) QoQ
406423,132.0,German Ifo Business Climate Index,2020-05-25 08:00:00,Germany,EUR,High Volatility Expected,,80.0,74.3,german-ifo-business-climate-index-132,Germany Ifo Business Climate Index
406496,48.0,CB Consumer Confidence,2020-05-26 14:00:00,United States,USD,High Volatility Expected,,87.9,86.9,cb-consumer-confidence-48,U.S. CB Consumer Confidence
406495,222.0,New Home Sales,2020-05-26 14:00:00,United States,USD,High Volatility Expected,,645K,627K,new-home-sales-222,U.S. New Home Sales
406607,59.0,Core Durable Goods Orders,2020-05-28 12:30:00,United States,USD,High Volatility Expected,,-5.8%,-0.4%,core-durable-goods-orders-59,U.S. Core Durable Goods Orders MoM
406616,232.0,Pending Home Sales,2020-05-28 14:00:00,United States,USD,High Volatility Expected,,-10.0%,-20.8%,pending-home-sales-232,U.S. Pending Home Sales MoM
406723,68.0,CPI,2020-05-29 09:00:00,Euro Zone,EUR,High Volatility Expected,,0.1%,0.7%,cpi-68,Eurozone Consumer Price Index (CPI) YoY
406790,123.0,GDP,2020-05-29 12:30:00,Canada,CAD,High Volatility Expected,,0.1%,0.2%,gdp-123,Canada Gross Domestic Product (GDP) MoM
406867,594.0,Manufacturing PMI,2020-05-31 01:00:00,China,CNY,High Volatility Expected,,51.0,50.8,manufacturing-pmi-594,China Manufacturing Purchasing Managers Index (PMI)
406879,753.0,Caixin Manufacturing PMI,2020-06-01 01:45:00,China,CNY,High Volatility Expected,,50.3,49.4,chinese-caixin-manufacturing-pmi-753,China Caixin Manufacturing Purchasing Managers Index (PMI)
406909,204.0,Manufacturing PMI,2020-06-01 08:30:00,United Kingdom,GBP,High Volatility Expected,,,,manufacturing-pmi-204,U.K. Manufacturing Purchasing Managers Index (PMI)
406923,173.0,ISM Manufacturing PMI,2020-06-01 14:00:00,United States,USD,High Volatility Expected,,36.9,41.5,ism-manufacturing-pmi-173,U.S. ISM Manufacturing Purchasing Managers Index (PMI)
406949,171.0,RBA Interest Rate Decision,2020-06-02 04:30:00,Australia,AUD,High Volatility Expected,,0.25%,0.25%,rba-interest-rate-decision-171,Australia Interest Rate Decision
406966,136.0,German Manufacturing PMI,2020-06-02 07:55:00,Germany,EUR,High Volatility Expected,,34.4,34.4,german-manufacturing-pmi-136,Germany Manufacturing Purchasing Managers Index (PMI)
406988,124.0,GDP,2020-06-03 01:30:00,Australia,AUD,High Volatility Expected,,0.3%,0.5%,gdp-124,Australia Gross Domestic Product (GDP) QoQ
407010,332.0,German Unemployment Change,2020-06-03 07:55:00,Germany,EUR,High Volatility Expected,,76K,373K,german-unemployment-change-332,Germany Unemployment Change
407013,1934.0,Composite PMI,2020-06-03 08:30:00,United Kingdom,GBP,High Volatility Expected,,12.9,12.9,composite-pmi-1934,U.K. Composite Purchasing Managers' Index (PMI)
407014,274.0,Services PMI,2020-06-03 08:30:00,United Kingdom,GBP,High Volatility Expected,,,,services-pmi-274,U.K. Services Purchasing Managers Index (PMI)
407031,1.0,ADP Nonfarm Employment Change,2020-06-03 12:15:00,United States,USD,High Volatility Expected,,,"-20,236K",adp-nonfarm-employment-change-1,U.S. ADP Nonfarm Employment Change
406797,227.0,Nonfarm Payrolls,2020-06-05 12:30:00,United States,USD,High Volatility Expected,,"-22,000K","-20,500K",nonfarm-payrolls-227,U.S. Nonfarm Payrolls
406170,375.0,GDP,2020-06-25 12:30:00,United States,USD,High Volatility Expected,,2.1%,2.1%,gdp-375,U.S. Gross Domestic Product (GDP) QoQ
400107,1680.0,Autumn Budget,2020-10-29 12:30:00,United Kingdom,GBP,High Volatility Expected,,,,autumn-budget-1680,United Kingdom Autumn Budget
391250,1061.0,FOMC Economic Projections,2020-12-16 19:00:00,United States,USD,High Volatility Expected,,,,fomc-economic-projections-1061,U.S. Federal Open Market Committee (FOMC) Economic Projections
391246,168.0,Fed Interest Rate Decision,2020-12-16 19:00:00,United States,USD,High Volatility Expected,,,,fed-interest-rate-decision-168,Fed Interest Rate Decision
